"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"OD282","N/D","SCS1","Deputy Director Offshore, Corporate & Wealthy","Deputy Director Offshore, Corporate & Wealthy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","25629227","1.00","N/A","N/A","","Counter-fraud Standards and Profession","North West","nan","1.00"
"OD283","N/D","SCS1","Deputy Director Digital Support & Innovation","Deputy Director Digital Support & Innovation","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD276","21207712","1.00","N/A","N/A","","Counter-fraud Standards and Profession","London","nan","1.00"
"OD288","N/D","SCS1","Deputy Director Scotland, Northern England & Northern Ireland","Deputy Director Scotland, Northern England & Northern Ireland","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD277","77465737","1.00","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD289","N/D","SCS1","Deputy Director, Corporate Treasury","Deputy Director, Corporate Treasury","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","29058483","0.81","N/A","N/A","","Government Finance Profession","Scotland","nan","1.00"
"OD291","N/D","SCS1","Deputy Director Debt Management Ops","Deputy Director Debt Management Ops","HM Revenue and Customs","HM Revenue and Customs","Customer Services","0300 200 3300","contactUs@hmrc.gov.uk","OD277","82458153","1.00","N/A","N/A","","Operational Delivery Profession","East Midlands","nan","1.00"
"OD292","Vacant","SCS1","Deputy Director Debt Management Logistics","Deputy Director Debt Management Logistics","HM Revenue and Customs","HM Revenue and Customs","Customer Services","N/A","N/A","OD101","0","1.00","N/A","N/A","","Other","Unknown","Post became vacant on 08/08/2025","1.00"
"OD293","N/D","SCS1","Deputy Director, Planning, Finance & Benefit Customer","Deputy Director, Planning, Finance & Benefit Customer","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD319","2796988","1.00","N/A","N/A","","Government Finance Profession","London","Jobshare","1.00"
"OD293","N/D","SCS1","Deputy Director, Planning, Finance & Benefit Customer","Deputy Director, Planning, Finance & Benefit Customer","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD319","2796988","0.61","N/A","N/A","","Government Finance Profession","London","Jobshare","1.00"
"OD294","N/D","SCS1","COPS Private Office","COPS Private Office","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","7951005","1.00","N/A","N/A","","Government Tax Profession","North East","nan","1.00"
"OD297","N/D","SCS1","Deputy Director Complex & Agents","Deputy Director Complex & Agents","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1143","93802399","1.00","N/A","N/A","","Operational Delivery Profession","East Midlands","nan","1.00"
"OD298","N/D","SCS1","Deputy Director Complex & Agents","Deputy Director Complex & Agents","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1143","66107911","1.00","N/A","N/A","","Operational Delivery Profession","London","nan","1.00"
"OD299","N/D","SCS1","Deputy Director – Scrutiny, Performance, Assurance & Risk (SPAR)","Deputy Director – Scrutiny, Performance, Assurance & Risk (SPAR)","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD562","3723115","1.00","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD300","N/D","SCS1","Deputy Director People Planning and Performance","Deputy Director People Planning and Performance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","4114533","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD301","N/D","SCS1","Volume Compliance","Volume Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD942T","105647039","1.00","N/A","N/A","","Operational Delivery Profession","North West","nan","1.00"
"OD302","N/D","SCS1","Deputy Director for Mid-Sized Business","Deputy Director for Mid-Sized Business","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","71989461","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD303","N/D","SCS1","Deputy Director Taskforces & Specialist Compliance","Deputy Director Taskforces & Specialist Compliance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1143","70245058","1.00","N/A","N/A","","Government Statistical Service Profession","Yorkshire and The Humber","nan","1.00"
"OD305","N/D","SCS1","Deputy Director Planning & Performance","Deputy Director Planning & Performance","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD1143","5605806","1.00","N/A","N/A","","Government Tax Profession","London","nan","1.00"
"OD306","N/D","SCS1","Deputy Director Wealthy","Deputy Director Wealthy","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD595","43248147","1.00","N/A","N/A","","Government Tax Profession","East Midlands","nan","1.00"
"OD307","N/D","SCS1","Head of RIS Intelligence","Head of RIS Intelligence","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","38917646","1.00","N/A","N/A","","Government Legal Profession","South West","nan","1.00"
"OD308","N/D","SCS1","Deputy Director Head of Preventive Risking","Deputy Director Head of Preventive Risking","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","16622096","1.00","N/A","N/A","","Digital, Data and Technology Professions","North West","nan","1.00"
"OD309","N/D","SCS1","Deputy Director Head of RIS Analysis","Deputy Director Head of RIS Analysis","HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","0300 200 3300","contactUs@hmrc.gov.uk","OD273","14818582","1.00","N/A","N/A","","Government Tax Profession","North West","nan","1.00"
"OD319","Oliver Fisher","SCS2","Director Change, Assurance & Investment","Director Change, Assurance & Investment","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD105","565860","1.00","115000","115000","","Project Delivery Profession","South East","nan","1.00"
"OD321","N/D","SCS1","Deputy Director, Change, Assurance and Investment","Deputy Director, Change, Assurance and Investment","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD319","1574441","1.00","N/A","N/A","","Project Delivery Profession","London","nan","1.00"
"OD323","N/D","SCS1","DD Accounting Operations","DD Accounting Operations","HM Revenue and Customs","HM Revenue and Customs","Chief Finance Officer Group","0300 200 3300","contactUs@hmrc.gov.uk","OD937","5548642","1.00","N/A","N/A","","Government Finance Profession","London","nan","1.00"
"OD332","N/D","SCS1","Head of Mobility & Workspace Services","Head of Mobility & Workspace Services","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD988","6014619","1.00","N/A","N/A","","Digital, Data and Technology Professions","East Midlands","nan","1.00"
"OD335","N/D","SCS1","Deputy Finance Director","Deputy Finance Director","HM Revenue and Customs","HM Revenue and Customs","Chief Digital & Information Officer","0300 200 3300","contactUs@hmrc.gov.uk","OD977","1778088","0.60","N/A","N/A","","Government Finance Profession","North East","nan","1.00"
"OD344","Samantha Pullin","SCS2","Director Litigation","Director Litigation","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD110","668534","1.00","115000","115000","","Government Legal Profession","London","nan","1.00"
"OD345","John Evans","SCS2","Director of Business Tax and International Law","Director of Business Tax and International Law","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD110","598465","0.86","145000","145000","","Government Legal Profession","London","nan","1.00"
"OD346","Jo Greenidge","SCS2","Director of Personal Taxes and Corporate Services Advisory","Director of Personal Taxes and Corporate Services Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD110","571563","0.86","115000","115000","","Government Legal Profession","London","nan","1.00"
"OD347","N/D","SCS1","DD Commissioners Advisory Accountant","DD Commissioners Advisory Accountant","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD605","1542585","1.00","N/A","N/A","","Corporate Finance Profession","North West","nan","1.00"
"OD348","N/D","SCS1","Deputy Director Enforcement & Insolvency Team","Deputy Director Enforcement & Insolvency Team","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","1305266","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD349","N/D","SCS1","Deputy Director Customs Excise & Environmental Taxes Litigation","Deputy Director Customs Excise & Environmental Taxes Litigation","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","1332527","1.00","N/A","N/A","","Other","London","nan","1.00"
"OD350","N/D","SCS1","Deputy Director Business International Gains & VAT Advisory","Deputy Director Business International Gains & VAT Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","1376911","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD351","N/D","SCS1","Deputy Director Strategic Litigation","Deputy Director Strategic Litigation","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","3112532","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD352","N/D","SCS1","Deputy Director VAT Litigation","Deputy Director VAT Litigation","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","2384056","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD353","N/D","SCS1","Deputy Director Business & Property Taxes Litigation Team","Deputy Director Business & Property Taxes Litigation Team","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD344","1700651","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD354","N/D","SCS1","Deputy Director Corporation Tax Advisory","Deputy Director Corporation Tax Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","1397353","0.60","N/A","N/A","","Government Legal Profession","London","Jobshare","1.00"
"OD354","N/D","SCS1","Deputy Director Corporation Tax Advisory","Deputy Director Corporation Tax Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","1397353","0.60","N/A","N/A","","Government Legal Profession","London","Jobshare","1.00"
"OD355","N/D","SCS1","Deputy Director People and Professionalism, Legal Operations and Business Transformation","Deputy Director People and Professionalism, Legal Operations and Business Transformation","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD605","3675746","1.00","N/A","N/A","","Human Resources Profession","London","nan","1.00"
"OD356","N/D","SCS1","Deputy Director EU Exit, International and Legislation Team","Deputy Director EU Exit, International and Legislation Team","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","958020","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD357","N/D","SCS1","Deputy Director SOLS B4","Deputy Director SOLS B4","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD346","1872560","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD358","N/D","SCS1","Deputy Director Business International Gains & VAT Advisory","Deputy Director Business International Gains & VAT Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","1258914","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD359","N/D","SCS1","Deputy Director Ratings, Valuation & Information Law","Deputy Director Ratings, Valuation & Information Law","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD345","820235","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD360","N/D","SCS1","Deputy Director Personal Tax Advisory","Deputy Director Personal Tax Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD346","1281082","1.00","N/A","N/A","","Government Legal Profession","London","nan","1.00"
"OD362","N/D","SCS1","C2 Specialist Personal and Capital Taxes Advisory","C2 Specialist Personal and Capital Taxes Advisory","HM Revenue and Customs","HM Revenue and Customs","Legal","0300 200 3300","contactUs@hmrc.gov.uk","OD346","1672508","1.00","N/A","N/A","","Government Legal Profession","South West","nan","1.00"
